origin,dest,route,n_obs,total_pax,mean_fare,std_fare,fare_cv,n_carriers,avg_distance,avg_coupons,dist_band,carriers_list
TPA,SLC,TPA-SLC,1309,1948.0,307.21,217.43,0.7078,12,1983.0,1.67,long,"3M,AA,AS,B6,DL,F9,NK,OO,SY,UA,WN,YV"
SFO,ATL,SFO-ATL,3884,7724.0,382.03,297.45,0.7786,12,2181.0,1.32,long,"9E,AA,AS,B6,DL,F9,MQ,OH,OO,UA,WN,YV"
SFO,ABE,SFO-ABE,36,36.0,456.79,484.73,1.0612,6,2657.0,2.11,long,"9E,AA,DL,OH,OO,UA"
SFO,AGS,SFO-AGS,112,115.0,474.82,370.71,0.7807,7,2370.0,2.04,long,"9E,AA,DL,MQ,OH,OO,PT"
AGS,LGA,AGS-LGA,396,431.0,315.56,248.54,0.7876,8,730.0,1.63,medium,"9E,AA,DL,MQ,OH,OO,PT,YX"
AGS,SFO,AGS-SFO,94,97.0,467.68,296.04,0.633,7,2353.0,2.01,long,"9E,AA,DL,MQ,OH,OO,PT"
SFO,LGA,SFO-LGA,1021,1215.0,342.12,322.24,0.9419,9,2692.0,2.09,long,"AA,AS,B6,DL,F9,OO,UA,WN,YX"
SFO,ALB,SFO-ALB,558,580.0,425.34,306.9,0.7215,13,2688.0,2.04,long,"9E,AA,AS,B6,C5,DL,G7,MQ,OO,PT,UA,WN,YX"
ALB,SFO,ALB-SFO,510,535.0,402.27,290.55,0.7223,13,2707.0,2.04,long,"9E,AA,AS,B6,C5,DL,G7,MQ,OO,PT,UA,WN,YX"
SFO,AUS,SFO-AUS,3699,6150.0,360.46,248.4,0.6891,9,1542.0,1.29,long,"AA,AS,DL,F9,MQ,OO,QX,UA,WN"
AUS,SFO,AUS-SFO,3780,6139.0,365.68,270.35,0.7393,10,1540.0,1.29,long,"AA,AS,DL,F9,MQ,OO,QX,UA,WN,YV"
SFO,AVL,SFO-AVL,344,368.0,348.0,254.96,0.7326,8,2347.0,2.02,long,"AA,DL,MQ,OH,OO,PT,UA,YX"
AVL,LIT,AVL-LIT,46,48.0,265.0,155.03,0.585,4,685.0,2.0,medium,"AA,DL,MQ,OH"
LIT,SFO,LIT-SFO,216,229.0,371.07,307.77,0.8294,10,1895.0,2.05,long,"AA,C5,DL,F9,MQ,OH,OO,UA,WN,YV"
AVL,SFO,AVL-SFO,342,356.0,348.7,242.01,0.694,10,2347.0,2.07,long,"AA,DL,G7,MQ,OH,OO,PT,SY,UA,YX"
AVL,SJC,AVL-SJC,66,68.0,425.39,260.54,0.6125,6,2303.0,2.08,long,"AA,B6,DL,MQ,OH,UA"
AVL,SMF,AVL-SMF,106,108.0,382.08,300.46,0.7864,7,2288.0,2.08,long,"AA,DL,MQ,OH,OO,UA,YX"
SFO,CLT,SFO-CLT,1838,3238.0,432.73,289.0,0.6679,14,2346.0,1.4,long,"9E,AA,AS,B6,DL,F9,OH,OO,PT,SY,UA,WN,YV,YX"
SFO,BDL,SFO-BDL,870,924.0,406.13,301.46,0.7423,13,2748.0,2.04,long,"9E,AA,AS,B6,DL,MQ,OH,PT,SY,UA,WN,YV,YX"
BDL,DAL,BDL-DAL,196,228.0,257.22,139.69,0.5431,2,1589.0,2.0,long,"DL,WN"
BDL,SFO,BDL-SFO,842,914.0,397.44,304.93,0.7672,14,2739.0,2.01,long,"9E,AA,AS,B6,DL,MQ,OH,OO,PT,SY,UA,WN,YV,YX"
SFO,MEM,SFO-MEM,434,472.0,354.96,224.65,0.6329,10,2012.0,2.02,long,"9E,AA,DL,F9,MQ,OH,OO,UA,WN,YV"
