origin,dest,route,n_obs,total_pax,mean_fare,std_fare,fare_cv,n_carriers,avg_distance,avg_coupons,dist_band,carriers_list
PIT,DTW,PIT-DTW,401,444.0,287.09,130.68,0.4552,4,201.0,1.0,short,"9E,DL,OO,YX"
DTW,PWM,DTW-PWM,363,428.0,311.15,160.94,0.5172,12,725.0,1.37,medium,"9E,AA,B6,DL,F9,G7,OH,OO,UA,WN,YV,YX"
DTW,RIC,DTW-RIC,593,731.0,294.31,138.47,0.4705,10,495.0,1.15,short,"9E,AA,DL,G7,OH,OO,PT,WN,YV,YX"
RIC,DTW,RIC-DTW,586,724.0,302.84,137.81,0.4551,11,503.0,1.17,medium,"9E,AA,DL,G7,MQ,OH,OO,PT,WN,YV,YX"
ELM,TPA,ELM-TPA,23,26.0,232.36,105.0,0.4519,2,1315.0,2.0,medium,"DL,OO"
TPA,BUF,TPA-BUF,1680,3573.0,200.67,121.48,0.6054,13,1086.0,1.3,medium,"3M,9E,AA,B6,DL,F9,OH,OO,PT,UA,WN,YV,YX"
ELP,DEN,ELP-DEN,1144,2154.0,163.85,111.8,0.6823,7,584.0,1.05,medium,"AA,F9,MQ,OO,UA,WN,YV"
ELP,ANC,ELP-ANC,74,76.0,482.19,227.39,0.4716,7,3045.0,2.2,long,"AA,AS,MQ,OO,QX,UA,YV"
ANC,ELP,ANC-ELP,62,67.0,403.58,264.71,0.6559,8,3084.0,2.13,long,"AA,AS,DL,MQ,OO,QX,UA,YV"
ELP,ATL,ELP-ATL,693,1013.0,336.55,187.7,0.5577,9,1368.0,1.55,medium,"AA,C5,DL,F9,MQ,OO,UA,WN,YV"
ATL,ELP,ATL-ELP,682,946.0,322.62,168.04,0.5209,9,1339.0,1.53,medium,"9E,AA,DL,F9,MQ,OO,UA,WN,YV"
DEN,AUS,DEN-AUS,3575,9650.0,204.57,123.6,0.6042,8,794.0,1.09,medium,"AA,C5,DL,F9,MQ,OO,UA,WN"
AUS,ELP,AUS-ELP,1112,2259.0,218.1,115.21,0.5283,6,587.0,1.22,medium,"AA,MQ,OO,UA,WN,YV"
ELP,AVL,ELP-AVL,47,48.0,316.02,170.31,0.5389,4,1499.0,2.11,medium,"AA,DL,MQ,OO"
ELP,BDL,ELP-BDL,126,134.0,448.12,272.01,0.607,7,2141.0,2.13,long,"AA,DL,MQ,OO,UA,WN,YV"
BDL,ELP,BDL-ELP,114,123.0,353.86,186.96,0.5283,8,2090.0,2.06,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
ELP,BFL,ELP-BFL,35,36.0,408.61,287.8,0.7043,3,824.0,2.03,medium,"AA,MQ,OO"
BFL,ELP,BFL-ELP,31,32.0,410.0,219.96,0.5365,3,793.0,2.0,medium,"AA,MQ,OO"
BIS,ELP,BIS-ELP,20,20.0,346.8,105.86,0.3053,4,1191.0,2.0,medium,"AA,MQ,OO,UA"
ELP,BNA,ELP-BNA,524,604.0,271.63,136.98,0.5043,9,1303.0,1.99,medium,"AA,C5,DL,F9,MQ,OO,UA,WN,YV"
BNA,ELP,BNA-ELP,502,554.0,270.28,153.02,0.5662,10,1290.0,2.01,medium,"AA,DL,F9,MQ,OH,OO,UA,WN,YV,YX"
ELP,BOI,ELP-BOI,123,130.0,255.0,127.35,0.4994,5,1136.0,1.93,medium,"AA,MQ,OO,UA,WN"
ELP,BOS,ELP-BOS,487,535.0,395.43,200.27,0.5065,10,2220.0,2.05,long,"AA,C5,DL,F9,MQ,OO,UA,WN,YV,YX"
BOS,ELP,BOS-ELP,412,452.0,365.82,189.84,0.519,10,2185.0,2.05,long,"9E,AA,AS,DL,MQ,OO,UA,WN,YV,YX"
ELP,BTV,ELP-BTV,24,24.0,306.35,140.79,0.4596,5,2183.0,2.21,long,"AA,DL,MQ,OO,UA"
ELP,BUR,ELP-BUR,143,161.0,215.22,107.12,0.4977,5,771.0,1.97,medium,"AA,MQ,OO,UA,WN"
ELP,BWI,ELP-BWI,447,532.0,348.56,194.39,0.5577,9,1897.0,2.02,long,"AA,DL,F9,MQ,OO,QX,UA,WN,YV"
ELP,BZN,ELP-BZN,56,64.0,262.64,152.04,0.5789,4,1199.0,2.02,medium,"AA,OO,UA,WN"
BZN,ELP,BZN-ELP,58,66.0,254.51,126.56,0.4973,4,1158.0,2.02,medium,"AA,OO,UA,WN"
ELP,CID,ELP-CID,40,40.0,323.91,128.8,0.3976,5,1270.0,2.02,medium,"AA,DL,MQ,OO,UA"
CID,ELP,CID-ELP,38,38.0,289.96,126.43,0.436,6,1291.0,2.03,medium,"AA,DL,F9,MQ,OO,UA"
ELP,CLE,ELP-CLE,162,179.0,326.24,160.51,0.492,8,1740.0,2.02,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
CLE,ELP,CLE-ELP,149,158.0,322.03,154.37,0.4794,8,1706.0,2.04,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
ELP,CLT,ELP-CLT,289,332.0,340.8,167.84,0.4925,8,1600.0,2.07,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
ELP,CMH,ELP-CMH,231,253.0,317.67,205.31,0.6463,9,1658.0,2.03,long,"AA,DL,F9,MQ,OO,PT,UA,WN,YV"
ELP,COS,ELP-COS,101,108.0,204.18,130.65,0.6399,3,729.0,2.0,medium,"OO,UA,WN"
ELP,CVG,ELP-CVG,165,181.0,340.65,188.99,0.5548,9,1509.0,2.02,long,"AA,C5,DL,F9,MQ,OO,UA,WN,YV"
CVG,ELP,CVG-ELP,140,150.0,335.41,177.0,0.5277,8,1496.0,2.01,medium,"AA,DL,F9,MQ,OO,UA,WN,YV"
ELP,DCA,ELP-DCA,621,815.0,350.81,199.5,0.5687,10,1830.0,2.02,long,"AA,C5,DL,F9,MQ,OH,OO,UA,WN,YV"
DEN,DFW,DEN-DFW,3496,12076.0,220.46,152.95,0.6938,9,650.0,1.02,medium,"AA,DL,F9,MQ,OH,OO,UA,YV,ZW"
ELP,DSM,ELP-DSM,82,87.0,284.18,178.96,0.6298,7,1254.0,2.02,medium,"AA,F9,MQ,OO,UA,WN,YV"
DSM,ELP,DSM-ELP,81,84.0,268.32,145.2,0.5411,6,1245.0,2.0,medium,"AA,F9,MQ,OO,UA,WN"
ELP,DTW,ELP-DTW,440,517.0,341.95,187.37,0.548,8,1714.0,2.03,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
DTW,ELP,DTW-ELP,397,437.0,329.75,171.34,0.5196,9,1697.0,2.02,long,"AA,DL,F9,MQ,OO,UA,WN,YV,YX"
DEN,ELP,DEN-ELP,1165,2141.0,159.43,107.69,0.6755,6,590.0,1.06,medium,"AA,F9,MQ,OO,UA,WN"
ELP,EUG,ELP-EUG,55,56.0,299.95,152.24,0.5075,6,1391.0,2.04,medium,"AA,MQ,OO,QX,UA,WN"
ELP,EWR,ELP-EWR,279,335.0,483.34,270.74,0.5602,9,2135.0,2.1,long,"AA,AS,C5,DL,MQ,OO,QX,UA,YV"
ELP,FAI,ELP-FAI,27,27.0,448.65,186.12,0.4148,7,3219.0,2.63,long,"AA,AS,DL,MQ,OO,QX,YV"
FAI,ELP,FAI-ELP,31,32.0,534.08,261.38,0.4894,6,3325.0,2.52,long,"AS,DL,MQ,OO,QX,UA"
ELP,FAR,ELP-FAR,41,42.0,387.11,167.7,0.4332,6,1354.0,2.02,medium,"AA,DL,F9,MQ,OO,UA"
FAR,ELP,FAR-ELP,43,51.0,360.39,158.04,0.4385,6,1317.0,2.02,medium,"AA,DL,F9,MQ,OO,UA"
ELP,SFO,ELP-SFO,380,432.0,255.58,155.62,0.6089,7,1092.0,2.0,medium,"AA,F9,MQ,OO,QX,UA,WN"
SFO,ELP,SFO-ELP,367,399.0,252.48,160.95,0.6375,8,1129.0,2.01,medium,"AA,AS,F9,MQ,OO,UA,WN,YV"
ELP,FSD,ELP-FSD,47,47.0,346.55,210.74,0.6081,6,1218.0,2.0,medium,"AA,DL,F9,MQ,OO,UA"
FSD,ELP,FSD-ELP,38,38.0,278.63,149.68,0.5372,5,1178.0,2.0,medium,"AA,F9,MQ,OO,UA"
ELP,GEG,ELP-GEG,103,110.0,268.84,153.16,0.5697,7,1412.0,2.02,medium,"AA,AS,MQ,OO,QX,UA,WN"
GEG,ELP,GEG-ELP,107,113.0,257.08,141.2,0.5492,7,1446.0,2.04,medium,"AA,AS,MQ,OO,QX,UA,WN"
ELP,GJT,ELP-GJT,20,20.0,280.8,130.23,0.4638,4,782.0,2.0,medium,"AA,MQ,OO,UA"
ELP,GRR,ELP-GRR,89,91.0,347.95,196.49,0.5647,7,1552.0,2.0,long,"AA,DL,MQ,OO,UA,WN,YV"
GRR,ELP,GRR-ELP,85,90.0,315.31,163.97,0.52,8,1573.0,2.07,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
ELP,GSO,ELP-GSO,89,90.0,306.59,166.19,0.542,5,1599.0,2.03,long,"AA,DL,MQ,OO,UA"
ELP,HNL,ELP-HNL,271,294.0,401.92,209.97,0.5224,7,3394.0,2.03,long,"AA,AS,MQ,OO,UA,WN,YV"
HNL,ELP,HNL-ELP,277,310.0,400.79,213.84,0.5335,8,3434.0,2.03,long,"AA,AS,DL,MQ,OO,UA,WN,YV"
ELP,HSV,ELP-HSV,175,202.0,385.18,207.95,0.5399,8,1224.0,2.01,medium,"9E,AA,C5,DL,MQ,OH,OO,YV"
HSV,ELP,HSV-ELP,167,193.0,365.76,178.3,0.4875,8,1241.0,2.0,medium,"9E,AA,C5,DL,MQ,OH,OO,YV"
ELP,IAD,ELP-IAD,264,311.0,415.74,204.77,0.4925,9,1880.0,2.05,long,"AA,C5,DL,MQ,OH,OO,UA,WN,YV"
ELP,IAH,ELP-IAH,786,1128.0,236.41,140.89,0.596,8,707.0,1.17,medium,"AA,C5,F9,MQ,OO,UA,WN,YV"
IAH,ELP,IAH-ELP,738,1020.0,222.8,108.97,0.4891,8,707.0,1.16,medium,"AA,C5,F9,MQ,OO,UA,WN,YV"
ELP,ICT,ELP-ICT,74,78.0,261.59,125.47,0.4796,6,941.0,2.0,medium,"AA,MQ,OO,UA,WN,YV"
ELP,IND,ELP-IND,288,339.0,302.31,181.48,0.6003,10,1482.0,2.01,medium,"AA,C5,DL,F9,MQ,OO,UA,WN,YV,YX"
IND,ELP,IND-ELP,247,281.0,290.62,184.11,0.6335,10,1476.0,2.03,medium,"AA,C5,DL,F9,MQ,OO,UA,WN,YV,YX"
ELP,KOA,ELP-KOA,30,30.0,461.16,269.19,0.5837,5,3321.0,2.0,long,"AA,MQ,OO,QX,WN"
KOA,ELP,KOA-ELP,35,35.0,431.64,283.79,0.6575,5,3288.0,2.0,long,"AA,MQ,OO,QX,WN"
ELP,LAS,ELP-LAS,1431,3138.0,167.42,106.29,0.6349,7,609.0,1.19,medium,"AA,F9,G4,MQ,OO,UA,WN"
LAS,ELP,LAS-ELP,1384,3001.0,172.17,110.94,0.6444,7,612.0,1.2,medium,"AA,F9,G4,MQ,OO,UA,WN"
ELP,LAX,ELP-LAX,1186,2150.0,212.24,116.92,0.5509,6,736.0,1.19,medium,"AA,F9,MQ,OO,UA,WN"
LAX,ELP,LAX-ELP,1152,2043.0,210.0,110.8,0.5276,7,758.0,1.17,medium,"AA,F9,MQ,OO,UA,WN,YV"
ELP,LEX,ELP-LEX,48,49.0,359.54,239.83,0.6671,5,1477.0,2.08,medium,"AA,DL,G7,MQ,OO"
ELP,LGA,ELP-LGA,672,948.0,375.07,233.23,0.6218,8,2030.0,2.05,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
LGA,ELP,LGA-ELP,556,653.0,320.7,186.38,0.5812,10,2015.0,2.04,long,"9E,AA,DL,F9,MQ,OO,UA,WN,YV,YX"
ELP,MCI,ELP-MCI,339,376.0,299.76,164.04,0.5472,9,1143.0,2.0,medium,"AA,C5,DL,F9,MQ,OO,UA,WN,YV"
MCI,ELP,MCI-ELP,313,336.0,270.34,145.2,0.5371,8,1129.0,1.99,medium,"AA,DL,F9,MQ,OO,UA,WN,YV"
ELP,MCO,ELP-MCO,1047,1350.0,250.67,136.16,0.5432,9,1613.0,1.86,long,"AA,C5,DL,F9,MQ,OO,UA,WN,YV"
ELP,MEM,ELP-MEM,137,139.0,273.99,153.9,0.5617,7,1127.0,2.03,medium,"AA,DL,MQ,OO,UA,WN,YV"
MEM,ELP,MEM-ELP,124,128.0,244.21,112.33,0.46,7,1100.0,1.99,medium,"AA,DL,MQ,OO,UA,WN,YV"
ELP,MFR,ELP-MFR,23,24.0,367.77,91.26,0.2481,4,1322.0,2.04,medium,"MQ,OO,QX,UA"
ELP,MIA,ELP-MIA,436,654.0,319.66,202.58,0.6337,9,1797.0,2.03,long,"AA,C5,DL,F9,MQ,OO,UA,WN,YV"
MIA,ELP,MIA-ELP,332,411.0,303.54,176.68,0.5821,8,1726.0,2.02,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
ELP,MKE,ELP-MKE,165,168.0,291.48,143.5,0.4923,10,1530.0,1.99,long,"AA,C5,DL,F9,MQ,OO,UA,WN,YV,ZW"
MKE,ELP,MKE-ELP,141,147.0,259.12,125.74,0.4852,9,1561.0,2.01,long,"AA,DL,F9,MQ,OO,UA,WN,YV,ZW"
ELP,MSN,ELP-MSN,60,62.0,290.42,146.84,0.5056,5,1397.0,2.02,medium,"AA,DL,MQ,OO,UA"
ELP,SEA,ELP-SEA,764,1048.0,310.33,170.18,0.5484,9,1508.0,1.66,long,"AA,AS,F9,MQ,OO,QX,UA,WN,YV"
SEA,ELP,SEA-ELP,690,945.0,282.6,144.55,0.5115,10,1469.0,1.57,medium,"AA,AS,DL,F9,MQ,OO,QX,UA,WN,YV"
ELP,MSP,ELP-MSP,368,425.0,293.32,164.41,0.5605,10,1427.0,2.01,medium,"AA,C5,DL,F9,MQ,OH,OO,UA,WN,YV"
MSP,ELP,MSP-ELP,332,381.0,283.64,181.13,0.6386,8,1467.0,2.0,medium,"AA,DL,F9,MQ,OO,UA,WN,YV"
MSP,MFE,MSP-MFE,133,154.0,260.47,138.78,0.5328,7,1342.0,2.02,medium,"AA,C5,DL,MQ,OO,UA,YV"
MFE,ELP,MFE-ELP,175,184.0,305.24,167.91,0.5501,6,1008.0,2.01,medium,"AA,C5,MQ,OO,UA,YV"
ELP,MSY,ELP-MSY,289,309.0,259.41,128.32,0.4947,9,1041.0,2.01,medium,"AA,C5,DL,F9,MQ,OO,UA,WN,YV"
MSY,ELP,MSY-ELP,265,279.0,244.11,128.92,0.5281,7,1023.0,1.92,medium,"AA,DL,MQ,OO,UA,WN,YV"
ELP,OGG,ELP-OGG,51,55.0,343.95,251.42,0.731,4,3286.0,2.04,long,"MQ,OO,WN,YV"
OGG,ELP,OGG-ELP,51,54.0,374.95,239.27,0.6381,6,3353.0,2.08,long,"AA,MQ,OO,UA,WN,YV"
ELP,OKC,ELP-OKC,201,217.0,245.07,165.34,0.6747,8,941.0,1.99,medium,"AA,C5,F9,MQ,OH,OO,WN,YV"
ELP,OMA,ELP-OMA,151,169.0,267.45,123.7,0.4625,8,1189.0,2.01,medium,"AA,DL,F9,MQ,OO,UA,WN,YV"
OMA,ELP,OMA-ELP,126,136.0,263.1,154.2,0.5861,6,1192.0,2.0,medium,"AA,F9,OO,UA,WN,YV"
ELP,ONT,ELP-ONT,340,433.0,223.13,156.61,0.7019,6,742.0,1.79,medium,"AA,F9,MQ,OO,UA,WN"
ONT,ELP,ONT-ELP,323,413.0,219.61,156.55,0.7129,6,770.0,1.88,medium,"AA,F9,MQ,OO,UA,WN"
LIT,ELP,LIT-ELP,85,91.0,283.42,138.45,0.4885,9,951.0,2.0,medium,"AA,C5,DL,F9,MQ,OH,OO,WN,YV"
SAN,IAH,SAN-IAH,1797,4170.0,255.7,174.64,0.683,11,1373.0,1.28,medium,"AA,AS,C5,DL,F9,MQ,NK,OO,UA,WN,YV"
TPA,ELP,TPA-ELP,355,382.0,276.62,169.01,0.611,7,1550.0,2.01,long,"AA,DL,F9,OO,UA,WN,YV"
ELP,ORD,ELP-ORD,877,1085.0,277.89,165.97,0.5972,9,1377.0,1.54,medium,"AA,C5,DL,F9,MQ,OO,UA,WN,YV"
ELP,DAY,ELP-DAY,56,58.0,348.98,163.23,0.4677,7,1463.0,2.04,medium,"AA,DL,MQ,OH,OO,UA,ZW"
DAY,ELP,DAY-ELP,56,58.0,367.9,170.75,0.4641,6,1474.0,2.0,medium,"AA,DL,MQ,OH,OO,ZW"
ELP,GRB,ELP-GRB,20,21.0,351.2,174.47,0.4968,7,1628.0,2.25,long,"AA,DL,MQ,OO,YV,YX,ZW"
ELP,MLI,ELP-MLI,22,24.0,306.12,157.49,0.5145,4,1304.0,2.05,medium,"AA,DL,MQ,OO"
IAD,ELP,IAD-ELP,222,239.0,381.71,187.63,0.4915,9,1889.0,2.09,long,"AA,DL,MQ,OH,OO,UA,WN,YV,YX"
ELP,PHL,ELP-PHL,405,461.0,368.7,234.14,0.6351,8,2006.0,2.05,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
PHL,ELP,PHL-ELP,355,405.0,319.07,155.72,0.4881,8,1976.0,2.02,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
PHL,SAT,PHL-SAT,1191,1367.0,301.18,178.19,0.5916,13,1613.0,1.87,long,"AA,B6,DL,F9,NK,OH,OO,PT,UA,WN,YV,YX,ZW"
ELP,PIT,ELP-PIT,189,195.0,328.33,186.68,0.5686,8,1738.0,2.02,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
ELP,PSC,ELP-PSC,34,37.0,499.84,240.68,0.4815,5,1447.0,2.12,medium,"AA,MQ,OO,QX,UA"
PSC,ELP,PSC-ELP,31,31.0,367.85,157.71,0.4288,6,1434.0,2.03,medium,"AA,AS,MQ,OO,QX,UA"
ELP,PWM,ELP-PWM,36,36.0,382.34,180.17,0.4712,6,2309.0,2.39,long,"AA,DL,MQ,OO,WN,YV"
PWM,ELP,PWM-ELP,26,26.0,364.99,185.32,0.5078,7,2274.0,2.31,long,"AA,DL,OH,OO,PT,UA,WN"
ELP,RAP,ELP-RAP,23,23.0,313.41,120.57,0.3847,4,1113.0,2.0,medium,"AA,MQ,OO,UA"
RAP,ELP,RAP-ELP,26,26.0,289.6,96.19,0.3321,4,1036.0,2.04,medium,"AA,MQ,OO,UA"
RDM,ELP,RDM-ELP,20,20.0,336.54,160.91,0.4781,6,1394.0,2.0,medium,"AA,AS,MQ,OO,QX,UA"
ELP,RDU,ELP-RDU,319,372.0,335.77,177.38,0.5283,8,1715.0,2.01,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
RDU,ELP,RDU-ELP,288,331.0,312.28,163.2,0.5226,9,1714.0,2.03,long,"9E,AA,DL,F9,MQ,OO,UA,WN,YV"
ELP,RIC,ELP-RIC,149,159.0,357.79,188.99,0.5282,9,1781.0,2.06,long,"AA,DL,MQ,OO,PT,UA,WN,YV,YX"
ELP,RNO,ELP-RNO,141,147.0,246.37,124.33,0.5046,5,985.0,1.99,medium,"AA,MQ,OO,UA,WN"
RNO,ELP,RNO-ELP,143,152.0,245.72,121.92,0.4962,6,1017.0,2.0,medium,"AA,MQ,OO,QX,WN,YV"
ELP,SAN,ELP-SAN,694,1035.0,217.38,138.84,0.6387,6,693.0,1.49,medium,"AA,F9,MQ,OO,UA,WN"
SAN,ELP,SAN-ELP,715,1021.0,218.24,138.95,0.6367,6,725.0,1.58,medium,"AA,F9,MQ,OO,UA,WN"
EWR,ELP,EWR-ELP,212,225.0,390.29,208.04,0.5331,7,2021.0,2.03,long,"AA,AS,DL,MQ,OO,UA,YV"
DEN,SAT,DEN-SAT,2335,5126.0,199.41,129.35,0.6487,8,827.0,1.11,medium,"AA,C5,DL,F9,OO,UA,WN,YV"
ELP,SAV,ELP-SAV,149,164.0,280.24,139.8,0.4989,7,1535.0,2.03,long,"9E,AA,DL,MQ,OO,WN,YV"
SAV,ELP,SAV-ELP,141,146.0,275.17,149.91,0.5448,6,1552.0,2.01,long,"AA,DL,OO,UA,WN,YV"
ELP,SBA,ELP-SBA,49,50.0,232.62,110.94,0.4769,4,843.0,2.0,medium,"AA,MQ,OO,WN"
ELP,SDF,ELP-SDF,198,222.0,323.94,167.09,0.5158,8,1444.0,2.01,medium,"AA,DL,MQ,OO,UA,WN,YV,YX"
SDF,ELP,SDF-ELP,141,148.0,312.46,168.83,0.5403,11,1413.0,2.01,medium,"9E,AA,DL,MQ,OH,OO,UA,WN,YV,YX,ZW"
ELP,SJC,ELP-SJC,324,344.0,260.07,140.13,0.5388,5,1012.0,1.98,medium,"AA,MQ,OO,UA,WN"
SJC,ELP,SJC-ELP,307,329.0,247.17,143.52,0.5806,5,1048.0,1.95,medium,"AA,MQ,OO,UA,WN"
ELP,SJU,ELP-SJU,218,244.0,331.13,145.97,0.4408,8,2742.0,2.06,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
SJU,ELP,SJU-ELP,230,252.0,325.83,151.26,0.4642,7,2727.0,2.07,long,"AA,DL,F9,OO,UA,WN,YV"
ELP,SLC,ELP-SLC,450,546.0,229.58,138.51,0.6033,6,932.0,1.97,medium,"AA,F9,MQ,OO,UA,WN"
SLC,ELP,SLC-ELP,438,503.0,220.12,128.68,0.5846,7,951.0,1.96,medium,"AA,F9,MQ,OO,UA,WN,YV"
ELP,SMF,ELP-SMF,360,385.0,244.72,127.82,0.5223,6,1068.0,1.93,medium,"AA,F9,MQ,OO,UA,WN"
ELP,SRQ,ELP-SRQ,51,58.0,280.89,186.21,0.6629,5,1593.0,2.02,long,"AA,DL,MQ,OO,WN"
ELP,STL,ELP-STL,265,294.0,284.89,171.9,0.6034,8,1274.0,1.98,medium,"AA,DL,F9,MQ,OO,UA,WN,YV"
STL,ELP,STL-ELP,252,269.0,266.5,129.94,0.4876,8,1271.0,2.01,medium,"AA,DL,F9,MQ,OO,UA,WN,YV"
ELP,TPA,ELP-TPA,402,464.0,287.88,174.86,0.6074,8,1580.0,2.0,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
ELP,TYS,ELP-TYS,108,122.0,298.63,240.74,0.8061,10,1390.0,2.0,medium,"9E,AA,C5,DL,F9,MQ,OH,OO,UA,YV"
TYS,ELP,TYS-ELP,103,111.0,272.53,173.0,0.6348,10,1382.0,2.01,medium,"9E,AA,C5,DL,F9,MQ,OH,OO,UA,YV"
ELP,AUS,ELP-AUS,1158,2327.0,214.65,111.6,0.5199,6,578.0,1.22,medium,"AA,MQ,OO,UA,WN,YV"
ELP,BHM,ELP-BHM,140,159.0,279.09,147.04,0.5269,8,1269.0,1.97,medium,"AA,DL,MQ,OH,OO,UA,WN,YV"
BHM,ELP,BHM-ELP,116,131.0,252.94,123.43,0.488,7,1208.0,2.01,medium,"AA,DL,MQ,OH,OO,WN,YV"
ELP,BRO,ELP-BRO,33,34.0,356.73,222.68,0.6242,5,1003.0,2.0,medium,"AA,C5,MQ,OO,YV"
BRO,ELP,BRO-ELP,33,33.0,325.7,162.41,0.4986,6,1001.0,2.03,medium,"AA,C5,MQ,OO,UA,YV"
BWI,ELP,BWI-ELP,408,449.0,317.96,157.18,0.4943,8,1900.0,2.0,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
ELP,CHS,ELP-CHS,121,132.0,323.52,176.26,0.5448,8,1579.0,1.95,long,"9E,AA,DL,MQ,OO,UA,WN,YV"
CHS,ELP,CHS-ELP,101,115.0,280.47,152.62,0.5442,7,1597.0,2.04,long,"AA,DL,MQ,OO,UA,WN,YV"
ELP,CRP,ELP-CRP,106,120.0,246.06,102.76,0.4176,6,866.0,1.96,medium,"AA,C5,MQ,OO,WN,YV"
DCA,ELP,DCA-ELP,594,739.0,329.15,191.73,0.5825,9,1826.0,2.03,long,"AA,DL,F9,MQ,OO,UA,WN,YV,YX"
ELP,DFW,ELP-DFW,929,1600.0,256.1,147.72,0.5768,5,565.0,1.04,medium,"AA,MQ,OO,UA,YV"
DFW,ELP,DFW-ELP,928,1607.0,242.2,117.19,0.4839,5,562.0,1.03,medium,"AA,MQ,OO,UA,YV"
ELP,FLL,ELP-FLL,239,274.0,356.75,238.17,0.6676,7,1708.0,2.05,long,"AA,DL,MQ,OO,UA,WN,YV"
FLL,ELP,FLL-ELP,207,226.0,302.65,186.04,0.6147,7,1676.0,2.0,long,"AA,DL,MQ,OO,UA,WN,YV"
ELP,GPT,ELP-GPT,33,34.0,262.86,162.29,0.6174,7,1145.0,2.09,medium,"AA,C5,DL,MQ,OH,OO,YV"
GPT,ELP,GPT-ELP,34,36.0,243.26,141.56,0.5819,7,1100.0,2.0,medium,"AA,C5,DL,MQ,OH,OO,YV"
ELP,GSP,ELP-GSP,99,100.0,336.62,159.31,0.4733,8,1430.0,2.04,medium,"AA,DL,MQ,OO,UA,WN,YV,ZW"
ELP,HRL,ELP-HRL,206,222.0,231.27,120.68,0.5218,6,925.0,2.01,medium,"AA,C5,MQ,OO,WN,YV"
ELP,JAX,ELP-JAX,208,225.0,313.64,207.98,0.6631,9,1515.0,2.02,long,"AA,C5,DL,MQ,OH,OO,UA,WN,YV"
ELP,LRD,ELP-LRD,77,87.0,266.56,154.23,0.5786,5,950.0,2.01,medium,"AA,C5,MQ,OO,YV"
MCO,ELP,MCO-ELP,991,1211.0,239.59,130.32,0.544,9,1568.0,1.79,long,"AA,AS,DL,F9,MQ,OO,UA,WN,YV"
ELP,MFE,ELP-MFE,165,172.0,313.18,174.15,0.5561,6,1007.0,2.01,medium,"AA,C5,MQ,OO,UA,YV"
ORD,ELP,ORD-ELP,782,980.0,254.36,140.25,0.5514,10,1362.0,1.5,medium,"AA,DL,F9,MQ,OO,UA,WN,YV,YX,ZW"
ELP,MDT,ELP-MDT,49,49.0,435.6,281.59,0.6464,6,1854.0,2.18,long,"AA,DL,MQ,OO,PT,UA"
ELP,ORF,ELP-ORF,167,194.0,332.27,171.22,0.5153,9,1836.0,2.09,long,"AA,DL,F9,MQ,OH,OO,UA,WN,YV"
ELP,PDX,ELP-PDX,329,368.0,290.62,159.08,0.5474,9,1457.0,2.01,medium,"AA,AS,F9,MQ,OO,QX,UA,WN,YV"
ELP,ALB,ELP-ALB,49,50.0,424.69,249.67,0.5879,8,2058.0,2.22,long,"9E,AA,DL,MQ,OO,PT,UA,WN"
ALB,ELP,ALB-ELP,49,50.0,420.79,283.58,0.6739,9,2126.0,2.22,long,"9E,AA,DL,MQ,OH,OO,PT,UA,WN"
PIT,ELP,PIT-ELP,157,173.0,297.42,154.77,0.5204,8,1733.0,2.03,long,"AA,DL,F9,MQ,OO,UA,WN,YV"
ELP,RSW,ELP-RSW,106,118.0,328.72,218.31,0.6641,7,1645.0,2.02,long,"AA,DL,MQ,OO,UA,WN,YV"
IAH,SAN,IAH-SAN,1758,3952.0,254.74,178.56,0.701,10,1359.0,1.25,medium,"AA,AS,DL,F9,MQ,NK,OO,UA,WN,YV"
SAN,LGA,SAN-LGA,862,1200.0,283.57,206.87,0.7295,12,2535.0,2.08,long,"9E,AA,AS,B6,DL,F9,NK,OH,OO,UA,WN,YX"
ELP,SAT,ELP-SAT,860,1971.0,203.02,109.51,0.5394,7,583.0,1.26,medium,"AA,C5,MQ,OO,UA,WN,YV"
SAT,ELP,SAT-ELP,900,1996.0,202.91,106.79,0.5263,6,608.0,1.32,medium,"AA,MQ,OO,UA,WN,YV"
IAH,SFO,IAH-SFO,2939,6200.0,384.73,287.75,0.7479,10,1679.0,1.34,long,"AA,AS,C5,DL,F9,MQ,OO,UA,WN,YV"
ELP,SGF,ELP-SGF,45,48.0,308.08,253.63,0.8233,7,1019.0,2.0,medium,"AA,C5,DL,MQ,OO,UA,YV"
ELP,XNA,ELP-XNA,40,40.0,360.01,193.12,0.5364,8,994.0,2.02,medium,"AA,C5,DL,F9,MQ,OO,UA,YV"
